water,水 
fire,火 
sky,天 
tree,树 
river,河
colors,颜色
black,黑 
blue,蓝 
brown,棕 
gray,灰
green,绿 
orange,橙
purple,紫
red,红 
white,白 
yellow,黄 
sizes,尺寸 
big,大 
deep,深
long,长
narrow,窄
short,短 
small,小
thick,厚 
thin,薄
wide,宽 
tastes,味道
bitter,苦 
fresh,新鲜 
salty,咸
sour,酸
spicy,辣
sweet,甜 
qualities,质量
bad,坏
clean,干净的
dark,黑暗
difficult,难
dirty,脏
dry,干
easy,简单
empty,空
expensive,贵
fast,快
foreign,外国的
full,满
good,好
hard,难
heavy,重
inexpensive,便宜
light,轻
local,当地的
new,新
noisy,嘈杂的
old,旧
powerful,强
quiet,安静的
correct,正确的
slow,慢
soft,软
very,非常
weak,弱
wet,湿
wrong,错
young,年轻的
food,食物
almonds,杏仁
bread,面包
breakfast,早餐
butter,黄油
cheese,芝士
chicken,鸡
cumin,茴香
dessert,甜点
fish,鱼
fruit,水果
lemon,柠檬
meal,餐
meat,肉
pepper,辣椒
plants,植物
salad,沙拉
salt,盐
sugar,糖
apple,苹果
banana,香蕉
oranges,橙子
peaches,桃子
peanut,花生
pears,梨
pineapple,菠萝
grapes,葡萄
vegetables,蔬菜
carrot,萝卜
corn,玉米
cucumber,黄瓜
garlic,大蒜
olives,橄榄
onions,洋葱
peppers,辣椒
potatoes,土豆
pumpkin,南瓜
beans,豆
tomatoes,西红柿
alligator,鳄鱼
bear,熊
bird,鸟
bull,公牛
cat,猫
cow,奶牛
deer,鹿
dog,狗
dogs,狗
donkey,驴
eagles,老鹰
elephant,象
giraffe,长颈鹿
goat,山羊
goats,山羊
horse,马
lion,狮子
lions,狮子
monkey,猴子
monkeys,猴子
mouse,老鼠
mice,老鼠
rabbit,兔子
rabbits,兔子
snake,蛇
snakes,蛇
tiger,老虎
tigers,老虎
wolf,狼
wolves,狼
objects,物体
bed,床
ceiling,天花板
chair,椅子
clothes,衣服
coat,外套
cup,杯子
desk,椅子
dress,裙子
floor,地板
fork,叉子
furniture,家具
glass,玻璃
hat,帽子
house,房子
ink,墨水
jacket,夹克
kitchen,厨房
knife,刀
lamp,灯
letter,信
map,地图
newspaper,报纸
notebook,笔记本
pants,裤子
paper,纸
pen,钢笔
pencil,铅笔
pharmacy,药
picture,图
plate,盘子
refrigerator,冰箱
restaurant,饭店
roof,房顶
room,房间
rug,地毯
scissors,剪刀
shampoo,洗发精
shirt,衬衫
shoes,鞋子
soap,肥皂
socks,袜子
spoon,勺子
table,桌子
toilet,厕所
toothbrush,牙刷
toothpaste,牙膏
towel,毛巾
umbrella,雨伞
wall,墙
wallet,钱包
window,窗
telephone,电话
this,这个
that,那个
these,这些
those,那些
Questions,问题
how?,如何
what?,什么
who?,谁
why?,为什么
where?,哪里
art,美术
bank,银行
beach,海滩
book,书
bicycle,自行车
bus,公交车
car,车
train,火车
cafe,咖啡
country,国家
desert,沙滩
dictionary,字典
earth,地球
flowers,花
football,足球
forest,树林
game,游戏
garden,花园
geography,地理
history,历史
island,岛
lake,湖
library,图书馆
math,数学
moon,月亮
mountain,山
movies,电影
music,音乐
ocean,洋
office,办公室
foot,脚
player,球员
river,河
science,科学
sea,海
sky,天
soccer,足球
stars,星星
theater,电影院
tree,树
weather,天气
cold,冷
cool,酷
foggy,雾的
hot,热的
pouring,倒
rain,雨
snow,雪
ice,冰
sunny,晴
spring,春
summer,夏
autumn,秋
winter,冬
