contradict,矛盾
correlate,相关
correspond,代表 代表 [dai4 biao3]
credible,公信力
critique,批判
cumulative,追加的
deduce,推导出
devise,制定
diction,辞
differentiate,区分-
discriminate,歧視
elements,元素
exaggerate,夸大
excerpt,摘要
expository,說明文
extract,抽取
figurative,比喻
foreshadow,预示着
formulate,制定
graph,图表
heading,标题
hypothesize,假说
imitate,模仿
inclined,斜
indirect,间接
infer,推断
inquire,问 (wèn)
instructions,指导，指示
intermittent,间歇式
irrelevant,(证据)与争端无关的；不能接受的；不能适用的
literal,|串, 文本|
narrator,叙事
notation,注释
notice,通知；通知书
optional,可选择的
origins,品木宣言
paraphrase,意译
plagiarism,抄袭
plausible,可信
viewpoint,观点
preclude,阻止 阻止 [zu3 zhi3]
prefix,前缀
presume,推定
preview,预览
prose,散文
rank,等级
requisite,必要
re-state,重新说明
results,结果
revise,修改
simile,比喻
spatial,空间
subjective,主观
substitute,替补
succinct,简洁
summarize,总结
symbolize,象征
synonym,代名詞
thesis,论文
timeline,时间轴，
verify,驗證
viewpoint,观点
go,Go
come,来
tell,吩咐
tell,吩咐
speak,谈话
work,工作
hear,聆 聆 [ling2]
ask,要求
dream,夢
play,播放
raise,举起
lift,举起
spend,度过
want,愿望
sit,坐
call,呼叫
weep,哭
try,企图
meet,会晤
pull,拉取
feed,订阅
dance,跳舞
drink,喝
sell,销售
drive,駕駛
wake up,唤醒
get tired,累
listening,听力
blood,血
trident,三叉
moment,瞬间
reference,參考
laudable,值得称赞
forgetful,遗忘
recollect,回忆
curiosity,好奇心
sojourn,寄居
faithless,移情别恋
blissful,幸福
cautious,谨慎
clever,聪明
curious,好奇
ecstatic,狂喜
fair,一般
honest,誠實
innocent,無辜
joyful,快乐
meditative,冥想
pleased,高兴
proud,有骄傲感的、
satisfied,得到满足的
sensible,感官
annoyed,讨厌扰
agonized,哀鸣
arrogant,自大
awful,可怕
bored,无聊
confused,困惑
disbelieving,车尾灯
disgusted,恶心
enraged,激怒
exhausted,疲倦
frightened,受惊
frustrated,失意
grieving,喪慟
helpless,無奈
horrified,震惊
hurt,伤
hysterical,歇斯底里
indifferent,冷漠
idiotic,白痴
jealous,妒忌
lovesick,为情所困
mischievous,调皮
miserable,差勁 差劲 [cha1 jin4]
nervous,神经
sad,伤心
shocked,惊吓
sheepish,局促不安
smug,自鸣得意
stupid,愚蠢
abolition,取消
bribe,賄賂
colony,殖民地
district,区
empowerment,賦權
royal,皇家
urban,城市
vote,投票
boycott,杯葛
combat,斗争
parliament,议会
accord,ACCORD
corrupt,貪腐
crown,冠冕
forbidden,禁止
air conditioner,空氣調節器
apartment,公寓
ashtray,烟灰缸
attic,閣樓
basement,地下室
bathroom,浴室
bath tub,浴缸
bed,檢體
bedroom,的卧室
blanket,被子
bolt,螺栓
bookcase,书架
brick,砖
carpet,地毯
ceiling,天花板
cellar,酒窖
cement,水泥
chair,椅子
chimney,壁炉
closet,壁橱
concrete,混凝土
couch,沙發
curtain,幔
cushion,緩衝
desk,书桌
dining room,主餐厅
door,门
dresser,梳妆台
fan,风扇
faucet,水龙头
fireplace,壁炉
floor,地板 地板 [di4 ban3]
foundation,根基
furnace,炉子
furniture,家具
glass,玻璃
hall,休息室
hinge,合页
key,秘钥
lamp,灯
living room,客厅
lock,锁
mirror,镜子
nail,釘子
paint,颜料
picture,图片
plaster,灰泥
plumbing,水暖
plywood,胶合板
porch,门廊
rafter,拉夫特
roof,屋顶
room,房间
rug,地 毯
screw,screw
shelf,架子
sink,水槽
sofa,沙发
stairs,楼梯
toilet,厕所
wall,墙壁
window,窗口
wire,电线
wood,木材
Grandson,孙子
Granddaughter,孙女
Paternal-cousin,父母的表妹
Maternal-cousin,孕产妇表妹
Nephew,侄/甥
Niece,侄女
Father-In-Law,岳父
Mother-In-Law,婆婆
Son-In-Law,女婿
Daughter-In-Law,媳婦
Brother-In-Law,姐夫
Sister-In-Law,妯娌
Great-Grandfather,曾祖父
Great-Grandmother,曾祖母
Step-Daughter,養女
Step-Father,繼親
Step-Mother,繼母
Ex-Husband,前夫
Ex-Wife,前妻
short,空头
old,老旧
happy,快乐
funny,滑稽
interesting,有趣 (yǒuqù)
high,高
soft,柔化
clean,清潔
same,相同
strong,粗體強調
thirsty,口渴
long,长按
cold,冷
young,年轻的
skinny,枯瘦
sad,伤心
light-weight,重量轻
simple,简单
boring,乏味
low,低
sick,生病
difficult,困難
dangerous,危險
different,不同的
late,最新
weak,弱
collaborate,合作
resignation,辭職
meeting,会议
affiliate,联盟
manufacturing,制造业
prosper,繁荣
license,许可
venture,冒险
wage,工资
agency,法儿 法儿 [ fa3 r]
bonus,奖金
chore,工作
retire,退出
slogan,标语
afford,承擔特質
deduct,扣除
firm,公司
greed,貪心
repair,修复
shortage,数额不足
duty,義務 义务 [yi4 wu4]
lease,贌
staff,员工
transaction,交易
advertise,从这里开始！
appoint,委
position,右
superior,上位
industry,工业
machine,机器
supervise,监督
tax,稅
bargain,大减价
bankrupt,破產
cost,成本
surplus,只剩余
gamble,赌博
deduct ion,扣除离子
earning,赚钱
inheritance,繼承産業
wealth,财富
Ache,疼痛
Cure,解藥
Digest,摘要
Immune,基于
Massage,按摩
Paralyze,麻痹
Patient,患者
Scar,疤痕
Surgery,手术
Symptom,症狀
Therapy,治療
Vomit,嘔吐
Active,有效
Appetite,食欲
Conscious,意识
Cough,咳嗽
Diagnose,诊断
Fatal,致命
Handicap,阻礙
Heal,治療
Ill,生病
Prescribe,订明
Sober,清醒
Stomach,胃
Strong,强
Addiction,成瘾
Athlete,运动员
Disease,疾病
Disabled,關閉
Drown,遇溺
Health,健康
Nutrition,营养
Poison,毒
Sanitary,卫浴
Sore,瘡
Swallow,吞
Throat,喉咙
Vaccinate,疫苗接種
Allergy,过敏
Bleeding,出血
Breathe,吸氣 。
Bruise,瘀斑
Diet,饮食
Dose,剂量
Fever,發燒
Muscle,Muscle
Pregnant,Pregnant
Strain,啮齿动物种类
Suffer,受苦
Trauma,創傷
Virus,病毒
Slim,轻巧
Slender,苗条
Fit,適合
Duration,持续时间
Car,汽车
Taxi,出租车
Driver,驱动
Bus stop,巴士车站
Railway-Station,鐵路車站
Ticket-counter,售票柜台
Platform,平台
Waiting room,休息室
Airplane,飞机
Airport,机场
Air strip,空气地带
Information-desk,信息服务台
Complaint desk,起诉书；控告书
Tourist-attraction,旅游景点
Historical place,历史的地方
Hostel,宿舍
Room,房間
Room-rent,会议室租金
Breakfast,早餐
Lunch,午餐时间
Dinner,晚餐
Badgers,獾
Steed,骏马
Calve,产犊
Lamb,一不做二不休
Cows,家牛
Snake,蛇
Bear,熊市
Vine,Vine
Rat,老鼠
Bull,公牛
Frog,青蛙
Tiger,老虎
Horses,馬
Wolf,狼
Hippopotamus,河馬
Walrus,海象
Swine,豬
Periapt,护身符
Crocodile,鱷魚
Bee,蜜蜂
Honey Bee,蜜蜂
Pigeon,鸠鸽科
Crow,烏鴉
Kiwi,奇异鸟
Owl,貓頭鷹
Falcon,隼
Cock,公鸡
Skirt,裙边
Blouse,衬衫
Socks,袜子
Shoe,鞋
Shoes,鞋子
Shoelace,鞋帶
Boots,摩托车靴
Sandals,凉鞋
High-Heels,高跟鞋
Slipper,拖鞋
Slippers,拖鞋
Leather-Jacket,皮革夹克
Glove,手套
Gloves,手套
Vest,背心
Underpants,内裤
Knickers,灯笼裤
Bra,文胸
Swim-suit,泳衣
Pajamas,睡衣
Hat,螺帽方向
Cap,帽子
Scarf,圍巾
Coat,外套
Overcoat,大衣
Jacket,夹克
Trousers,摩托车裤
Suit,诉讼
Shorts,短裤
Jeans,牛仔裤
Shirt,襯衫
Tie,横梁
T-shirt,T恤衫
Raincoat,雨衣
Pullover,套衫
Sweater,毛线衣
wear,穿 穿 [chuan1]
take-off,起飞
to-get-dressed,到得穿
to-get-undressed,到得脱
tight,紧凑
loose,释放
button,按鈕
cloth,布
Thread,主题
Sewing,縫製
Knitting,編織
Bed,檢體
Bed,檢體
Pen,水筆
Bag,袋子
Glasses,眼鏡
Door,門
Food,食物
Matches,赛事
Slipper,拖鞋
Air,气
Sweets,糖果糕點
Trousers,摩托车裤
Plate,金属板
Fridge,冰箱
Television,电视
Cd,镉
Spice,香料（Spice）
Cabinet,橱柜
Single-bed,单人床
Double-bed,双人床
Coat-stand,衣帽架
Stereo,立體聲
Record-player,电唱机
Plants,工厂
Washing-Machine,洗衣机
Spin-Dryer,旋转干燥器
Dustbin,垃圾桶
Radiator,散热器
Light Switch,明亮开关
Broom,帚
Chest-of-Drawers,3层抽屉
Desk,书桌
Carpet,地毯
Curtains,窗帘
Rug,地 毯
Lamp,灯
Bookcase,书架
Doormat,门垫
CD-player,CD 播放机
Iron,铁
Ironing-Board,熨斗
Picture,图片
Painting,油漆
Poster,發佈人
Vase,花瓶
Mirror,镜像
Tablecloth,桌布
Cushion,緩衝
Hot-Tap,热水龙头
Cold-Tap,冷水龙头
Printer,打印机
Fan,风扇
Cooler,MGO 冷却器
Vacuum-Cleaner,吸塵器
DVD-player,DVD 播放器
Mop,拖把
Dining-table,桌子
Dressing-table,梳妆台
Chimney,壁炉
Stove,壁炉
Weighing Balance,称重平衡
Heater,暖通空調
Toaster,烤面包机
Blender,混合器
Duck,鸭
Owl,貓頭鷹
Falcon,隼
Pheasant,雉
Swan,天鵝
Vulture,禿鷲
Rooster,雄鸡
Canary,卡纳里1496年
Crow,烏鴉
Cuckoo,杜鹃科
Nightingale,夜鶯
Parrot,鸚鵡
Peacock,蓝孔雀
Egret,白鹭属
Sparrow,雀科
Woodpecker,啄木鸟科
Ostrich,鸵鸟
Myna,八哥
Kingfisher,翠鸟
Cormorant,鸕鶿
Pelican,鵜鶘
Stork,鹳科
Heron,鹭科
Albatross,信天翁科
Chick,小雞
Dove,鸠鸽科
Flamingo,Flamingo
Fowl,雞雁小綱
Goose,鵝
Hawk,鷹
Hen,母雞
Kiwi,奇异鸟
Loon,潜鸟属
Mocking-bird,只知更鸟
Macaw,金剛鸚鵡
Parakeet,长尾小鹦鹉
Peafowl,孔雀
Pelican,鵜鶘
Penguin,企鵝
Pigeon,鸠鸽科
Quail,鵪鶉
Starling,椋鸟科
Stork,鹳科
wing,翅膀
beak,法案
alligator,鳄鱼法则
bee,蜜蜂
camel,骆驼
cheetah,猎豹
chicken,鸡
chimpanzee,黑猩猩
crocodile,鱷魚
deer,鹿
eagle,鹰
donkey,驴
fox,狐狸
hippopotamus,河馬
kangaroo,袋鼠
kitten,小猫
lobster,龙虾
puppy,小狗
scorpion,蝎子
snail,蝸牛
spider,蜘蛛
squirrel,松鼠
turtle,龜
zebra,斑馬
hyena,鬣狗
once,一次
river,河流
tree,树
bird,鸟
name,名称
unique,需求。
head,头
stomach,胃
day,加
red,红色
fruit,水果
of much,很多
delicious,美味的
god,上帝，神
fortunate,幸运
happiness,有福，快乐
praise,讚美，稱讚
dear,贵
to taste,口感
difference,差异
because,因为
found,找到
authority,大權 大权 [da4 quan2]
mine,矿
much,很多
sadness,悲傷
selfish,自私
anger,憤怒
poisonous,毒物
deceitful,诡诈
insult,侮辱
revenge,复仇
please,请
Shut-up!,住口
consequence,结果
likewise,也
story,评价
moral,道德
always,总是
things,除其他事情外：
Accountant,会计
Baker,选项列表
Craftsman,工匠
Mason,泥水匠
Bus-driver,列車駕駛
Butcher,屠户
Carpenter,木匠
Cook,烹饪时间
Cleaner,清洁员
Dentist,牙科医生
Designer,设计者
Electrician,電工
Engineer,工程师
Fireman,消防员
Fisherman,漁夫
Florist,插花
Gardener,园艺
Hairdresser,美发师
Judge,法官
Lecturer,講師
Librarian,圖書館員
Lifeguard,救生員
News-reader,新闻阅读器
Optician,配镜师
Pharmacist,藥劑師
Pilot,试点
Plumber,管工
Poetess,诗人
Policeman,警察
Policewoman,女警察
Postman,郵遞員
Real-estate-agent,房地产经纪人
Receptionist,接待员
Shop-keeper,店老板
Shop-assistant,车间助理
Tailor,网页装修工
Taxi driver,出租车司机
Translator,翻译
Traffic-warden,交通督导员
Travel-agent,旅行社
Veterinary-doctor,兽医医生
Waiter,侍應
Waitress,侍應
Workers,工人
Unequal,不平等
Letdown,让人失望
Beneficence,慈善
Expectation,期望
Neglect,疏忽
Generous,利他主义
Abdomen,腹部
Ethics,伦理学
New,新的
Said,说
Where,地点
Biography,个人简介
Character,字符
Building,建立
World,世界
Envoy,特使
Sly,狡猾
Statue,塑像
Talent,人才
Sister,姐姐
Bearing,轴承
Speech,语言
Gruesome,令人毛骨悚然
Month,月
Meat,肉
Basic,基本
Price,确认新密码
Crown,冠
Peacock,蓝孔雀
Suitable,适合
Match,匹配
State,国
Rule,规则
to-return,返回到
to-sprawl,对扩张
Poisonous,毒物
Astonishment,惊讶
once,一次
village,村庄
religious,宗教
ritual,仪式
occasion,场合
service,服务
rich,富文本编辑器
person,人
cow,奶牛
gift,gift
happy,快乐
home,首页
thugs,暴徒
to-deceive,对欺骗
plan,计划
contact,联系
laundress,洗衣
angry,憤怒
matter,問題
unheard,闻所未闻
pig,粉猪
to-pull,对拉
complication,并发症
wild,野生
animal,动物
demon,邪灵
form,形式
fear,恐惧
story,评价
moral,道德
always,总是
trust,信托；托管
Day,天
State,国
Inside,里面
Difference,差额
Mine,我的
Shape,形状
Sky,天空蓝
Stack,堆栈
Duration,持续时间
Habitual,习惯性
Inkling,初露端倪
Housing,住房补贴
Toward,逼近
And,和
Tomorrow,明天
Yesterday,昨天
Time,默认值
Ancient,古
Cloths,纺织品
Extreme,极端
Skin,皮肤
Pyre,柴堆
Anxiety,焦虑
Home,图像宽度
Planet,地球
Molasses,糖蜜
Attributes,属性
Flame,火焰
Web,卷筒纸
Umbrella,雨伞
Student,学生
Direction,节容器
State,国
Appointed,任命
Intension,内涵
Time,默认值
matter,問題
Pond,池塘
Fish,魚
three,3
Fishermen,漁夫
Group,最近要加载多少条tweet。
Near,附近
said,说
ever,总是
full,完全
Evening,傍晚
Web,卷筒纸
to-put,放到
More,更多
to-catch,抓到
try,企图
All,要显示的照片数量：
to-agree,对同意
Meeting,会议
Soon,不久
Another,被顶次数：
because,因为
Weak,弱
Person,人
where,其中
Powerful,權力
Attack,进攻
Ancestors,祖先
Destiny,命运
Few,数量
therefore,因此
Trust,认证机构
Head,头部
Hair,頭髮
Shoulder,肩
Neck,颈部
Eye,眼睛（关注）
Wrist,腕
Ear,耳机
Nose,鼻
Mouth,口腔
Chest,胸
Abdomen,腹部
Arm,灯臂
Hand,Hand
Elbow,肘
Toes,脚趾
Finger,手指
Leg,腿
Foot,尺
Face,表面
Tooth,牙齿
Cheek,脸颊
Chin,下巴
Tongue,舌肌
Palm,Palm
Fingernail,指甲
Skin,皮肤
Body,身体
Back,正在传送使用者资讯，请稍候...
Thumb,拇指
Heel,踵
of,返回到所需的插件安装程序
and,正在安装插件％1 $ s（％2 $ d /％3 $ d）
a,a
till,直到
is,是
you,你确定要删除吗？
that,那 那 [na4]
it,IT
he,HE
was,，打
for,-
on,上
only,仅
always,总是
with,与
his,他的
they,她们
I,我
after,之后
be,不超过
food,食品
mother,母亲
from,从
or,或者
name,名称
home,首页
through,至
word,单词
but,但是...
no,NO
what,要
all,所有
were,是
we,买现代战争3在最近的百思买。
when,什么时候 [shen2 me5 shi2 hou5]
yours,您的
language,語言
said,说
there,那里
use,使用
country,国家
every,每次
who,孰
ours,我们
to do,待办
how,步骤
Their,他們的
if,如果
will be,将被发送
above,之上
other,其他
of,返回到所需的插件安装程序
there,那里
very,非常
again,又
them,他们。
these,這些
that-is-why,-是-为什么
some,大概
to-him-or-her,到 — — 他-或-她
good,不错
to build,情缘打造
as,作为
spoken,口语
heard,有效沟通
time,发布时间
in front,在前面
to look,来看看
less,收起
more,更多
to write,写
to go,去
thank-you,谢谢
number,数字
someone,人
way,方式
could,可以
people,人
mine,矿
gone,走了
before,之前
water,水
done,完成
to drink,喝起来上口
who,孰
give,给予
now,现在
also,也
noon,中午
below,以下
day,加
night,晚
meet,会晤
come,来
build,建造
rest,自动停止(对案件等)提供证据(或辩论)
part,部位
morning,早上
sleep,睡觉
Woman,女士
Thursday,星期四
Close,登出
Gun,枪
Mansion,英雄宅
Garden,花 园
Later,稍后
King,野蛮王
Bucket,Bucket
Father,父亲
Rest,分类
National,（国内）
Talk,談
Left,剩下
Eagle,鷹
Market,市场
To-save,保存到
childhood,童年
Bad,不理想
Change,谁可以看到此字段？
To change,点击更改
Body,身体
Congratulations,恭喜
Revenge,复仇
Courageous,勇敢
Excuse,原諒
Much,很多
Daughter in law,女兒 在法
Sat,星期六
seat-someone,座椅-某人
sit,
To-play,
Box,
But,
To-make,
Porch,
Ice,
Blessing,
Rain,
Enough,
Spring-Season,
To-tell,
Light,
Daughter,
Sell,
Useless,
Doubtless,
