depending,根据
ongoing,持续
psychology,心理学
counselor,辅导员
chapter,章
divorce,离婚
owe,欠
pipe,管道
athletic,运动的
slight,微弱的
math,数学
shade,形状
tail,尾巴
sustain,保持
mount,数量
obligation,义务
angle,角度
palm,手掌
differ,不同于
custom,习惯
economist,经济学家
fifteen,15
soup,汤
celebration,庆典
efficient,高效
composition,作文
satisfy,满足
pile,桩
briefly,简要地
carbon,碳
closer,更近
consume,消耗
scheme,系统
crack,裂缝
frequency,频率
tobacco,烟草
survivor,幸存者
besides,也
psychologist,心理医生
wealthy,财富
galaxy,银河
given,鑑於
ski,滑雪
limitation,局限性
trace,画
appointment,约会
preference,倾向
meter,米
explosion,爆炸
publicly,公然
incredible,难以置信
fighter,战士
rapid,快的
admission,接纳
hunter,狩獵
educate,火车
painful,疼痛
friendship,友情
aide,助手
infant,婴儿
calculate,計算
fifty,五十个
rid,肋骨
porch,门廊
tendency,傾向
uniform,制服
formation,阵型
scholarship,奖学金
reservation,保留
efficiency,效率
qualify,修饰
scandal,丑闻
helpful,有帮助
impress,打印
heel,脚跟
resemble,类似
privacy,隐私
fabric,纺织品
contest,竞争
proportion,占比
guideline,指引
rifle,步枪
maintenance,维护
conviction,判决有罪
trick,哄骗
organic,自然
tent,帐幕
examination,考试 
publisher,出版商
strengthen,加强
proposed,拟议的
myth,误区
sophisticated,精致的
etc,等
standing,起诉权
asleep,处于睡眠状态
tennis,网球
nerve,胆量
barrel,桶
bombing,轰炸
membership,店铺等级
ratio,比例
menu,選單
controversial,争论的
desperate,殊死
lifestyle,生活方式
humor,幽默
loud,大
glove,手套
sufficient,不错
narrative,叙述
photographer,摄影师
helicopter,直升機
modest,Modest
provider,提供商
delay,延迟
agricultural,农业
explode,爆炸
stroke,一击
scope,范围
punishment,刑罚
handful,少数
badly,惡
horizon,地平線
curious,好奇
downtown,市中心
girlfriend,女朋友
prompt,提示
cholesterol,胆固醇
absorb,吸收
adjustment,调整
taxpayer,稅
eager,急于
principal,首要
detailed,详
motivation,动机
assignment,分配
restriction,限制
laboratory,实验室
workshop,车间
differently,不同
automatic,自动
romantic,浪漫
cotton,棉花
motor,马达
legal-action,合法举动
flavor,给调味
overlook,俯瞰
float,浮动
undergo,经历
sequence,序列
demonstration,示例
jet,飞机
orange,橙子
consumption,消耗量
assert,斷言
blade,刀叶
temporary,临时
medication,藥物治療
cabin,客舱价格
bite,咬合
edition,版本
valley,山谷
yours,您的
pitch,桨距
pine,松屬
brilliant,太聪明
versus,对抗赛
manufacturing,制造业
absolute,绝对
chef,厨师
discrimination,歧视
offensive,冒犯
boom,很大 一聲
register,注册
appoint,委
heritage,品牌传承
God,上帝
dominant,优势
successfully,成功
shit,拉屎
lemon,柠檬
hungry,饿 
wander,抖动
submit,提交
economics,经济学
naked,裸体
anticipate,预料
nut,坚果
legacy,舊版
extension,分机号码
shrug,耸肩
battery,殴打罪
arrival,到达
legitimate,合法
orientation,方位
inflation,通货膨胀
cope,应付
flame,火焰
cluster,簇
wound,伤害
dependent,依赖外在因素
shower,淋浴
institutional,机构
depict,形容
operating,运营中
flesh,肉
garage,车库
operator,运营商
instructor,导师
collapse,折叠
borrow,取土
furthermore,此外
comedy,喜剧
mortgage,抵押
sanction,制裁
civilian,平民
twelve,12
weekly,每周
habitat,動物棲地
grain,細粒
brush,刷洗
consciousness,意识
devote,奉献
measurement,测量
province,省份
ease,缓动
seize,抢占
ethics,伦理学
nomination,提名
permission, 权限
wise,聪明
actress,女演员
summit,上面
acid,酸 
odds,赔率
gifted,資優
frustration,挫折
medium,中杯
physically,物理学
distinguish,区分
shore,岸
repeatedly,反复
lung,肺
running,运行中
distinct,不同
artistic,艺术
discourse,講稿
basket,篮子
ah,啊
fighting,打架
impressive,引人注目
competitor,竞争对手
ugly,丑的
worried,担心
portray,写真
powder,细粉
ghost,建立映像
persuade,說服
moderate,中等
subsequent,随后
continued,续上表
cookie,曲奇饼
carrier,载波
cooking,烧饭
frequent,经常
ban,禁止
awful,可怕
admire,敬佩
pet,宠物
miracle,奇跡
exceed,通过
rhythm,旋律
widespread,广泛
killing,杀伤
lovely,可爱的
sin,罪
charity,慈善
script,脚本
tactic,战术
identification,身份鉴定
transformation,变身
everyday,每天
headline,头条
venture,冒险
invasion,入侵
nonetheless,仍然
adequate,充足
piano,钢琴
grocery,杂货
intensity,強度
blanket,被子
margin,边缘
mouse,鼠标
concrete,混凝土
prescription,处方明细
chase,追
brick,砖
recruit,人才招聘
patch,补片（手术）
consensus,共识决策法
horror,恐怖
recording,录像中...
changing,改变
painter,畫家
colonial,殖民
pie,饼图
sake,日本清酒
gaze,凝視
courage,勇气
pregnancy,怀孕
swear,发誓
defeat,击败
clue,线索
reinforce,强化
confusion,混乱
slice,片
occupation,饭碗
dear,贵
coal,煤
sacred,神圣
formula,公式
cognitive,認知
collective,集合
exact,具体
uncle,叔伯
captain,队长
sigh,叹息
attribute,属性
dare,敢
homeless,露宿者
gallery,链接
soccer,足球
defendant,被告
tunnel,隧道
lap,膝部
grave,坟墓
toe,腳趾
container,容器
virtue,美德
abroad,国外
architect,建筑师
dramatically,戏剧
makeup,化妆
inquiry,调查
rose,玫瑰
surprisingly,出奇
highlight,高亮
decrease,减少
indication,指示灯
rail,轨道
anniversary,週年
couch,沙發
alliance,結盟
hypothesis,假設
boyfriend,男朋友
compose,撰写
mess,胡来
legend,图例
regulate,调节
adolescent,青少年
shine,磨光
norm,社會規範
upset,打乱
remark,备注
resign,放弃
reward,裨益
gentle,绅士的
related,关联
organ,内脏
lightly,轻轻
concerning,关于
invent,发明
laughter,笑声
northwest,西北
counseling,辅导
receiver,收件人
ritual,仪式
insect,虫
interrupt,中斷
salmon,撒門
trading,贸易
magic,神奇的
superior,上位
combat,斗争
stem,茎
surgeon,外科医生
acceptable,可以接受
physics,物理
rape,强奸
counsel,中国律师
jeans,牛仔裤
hunt,狩獵
continuous,继续
log,记录日志
echo,回聲
pill,丸
excited,興奮
sculpture,雕塑
compound,複合
integrate,集成
flour,面粉
bitter,苦的
bare,裸
slope,斜率
rent,租金
presidency,总统
serving,每份颗数
